"RunID","DOCUMENT_NUMBER","TRANSACTION_NUMBER","TRANSACTION_ID","SALES_REP_ID","TERRITORY_ID","OPEN_DATE","SHIP_DATE","CLOSE_DATE","RETURN_DATE","FORECAST_TYPE","ABCDO_MARKER_ID","BOOK_FAIRS_STATUS_ID","BOOK_FAIR_TYPE_ID","TRUCK_ROUTE_ID","INVOICE_OPTION_ID","BILL_ADDRESS_LINE_1","BILL_ADDRESS_LINE_2","BILL_ADDRESS_LINE_3","BILL_CITY","BILL_COUNTRY","BILL_STATE","BILL_ZIP","SHIP_ADDRESS_LINE_1","SHIP_ADDRESS_LINE_2","SHIP_ADDRESS_LINE_3","SHIP_CITY","SHIP_COUNTRY","SHIP_STATE","SHIP_ZIP","STATUS","CURRENCY_ID","TRANDATE","EXCHANGE_RATE","ROLL_SIZE","PROJECTED_TOTAL","WEIGHTED_TOTAL","LOCATION_ID","SUBSIDIARY_ID","ACCOUNTING_PERIOD_ID","CUSTOMER_ID","CUSTOM_FORM_ID","CREATED_BY_ID","CREATE_DATE","DATE_LAST_MODIFIED"
"235","10","10","618950","18644","18652","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","4","5","1",,,"137 MAIN ROAD",,,"GISBORNE","NZ",,"4010","137 MAIN ROAD",,,"GISBORNE","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","112","3000.0","0","61","27","100","26909","211","36","2016-01-27 11:09:34.0","2016-01-28 03:10:12.0"
"235","11","11","618951","18644","18650","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","2","5","2",,,"17 HOUSE AVENUE",,,"MANUKAU","NZ",,"2022","HOUSE AVENUE",,,"AUCKLAND","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","413","3000.0","0","61","27","100","26224","211","36","2016-01-27 11:09:37.0","2016-01-28 03:10:24.0"
"235","12","12","618952","18643","18646","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","5","5","1",,,"31 WALSH STREET",,,"REEFTON","NZ",,"7830","WALSH STREET",,,"REEFTON","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","26","3000.0","0","61","27","100","27534","211","36","2016-01-27 11:09:39.0","2016-01-28 03:10:34.0"
"235","13","13","618953","18643","18650","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","5","5","2",,,"48-52 ROSEHILL DRIVE",,,"PAPAKURA","NZ",,"2113","48-52 ROSEHILL DRIVE",,,"PAPAKURA","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","192","3000.0","0","61","27","100","26190","211","36","2016-01-27 11:09:42.0","2016-01-28 03:10:45.0"
"235","14","14","618954","18643","18649","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","4","5","1",,,"HAURAKI ROAD RD 4",,,"THAMES","NZ",,"3574","HAURAKI ROAD",,,"THAMES","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","72","3000.0","0","61","27","100","26505","211","36","2016-01-27 11:09:46.0","2016-01-28 03:10:54.0"
"235","15","15","618955","18643","18648","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","4","5","1",,,"PO BOX 8",,,"AHIPARA","NZ",,"449","MAIN ROAD",,,"AHIPARA","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","208","3000.0","0","61","27","100","25757","211","36","2016-01-27 11:09:48.0","2016-01-28 03:11:03.0"
"235","16","16","618956","18643","18652","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","1","5","2",,,"7 NIMON STREET",,,"HAVELOCK NORTH","NZ",,"4130","7 NIMON STREET",,,"HAVELOCK NORTH","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","570","5000.0","0","61","27","100","26964","211","36","2016-01-27 11:09:51.0","2016-01-28 03:11:14.0"
"235","17","17","618957","18643","18649","2016-02-09 00:00:00.0","2016-02-09 00:00:00.0","2016-02-13 00:00:00.0","2016-02-15 00:00:00.0","Omitted","3","5","2",,,"309 WELCOME BAY ROAD",,,"TAURANGA","NZ",,"3112","309 WELCOME BAY ROAD",,,"TAURANGA","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","301","5000.0","0","61","27","100","26527","211","36","2016-01-27 11:09:54.0","2016-01-28 03:11:23.0"
"235","18","18","618958","18643","18649","2016-02-09 00:00:00.0","2016-02-09 00:00:00.0","2016-02-13 00:00:00.0","2016-02-15 00:00:00.0","Omitted","3","5","2",,,"PO BOX 7041",,,"TAURANGA","NZ",,"3148","164 MAUNGATAPU ROAD",,,"TAURANGA","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","508","5000.0","0","61","27","100","26381","211","36","2016-01-27 11:09:57.0","2016-01-28 03:11:33.0"
"235","19","19","618959","18644","18647","2016-02-09 00:00:00.0","2016-02-09 00:00:00.0","2016-02-13 00:00:00.0","2016-02-15 00:00:00.0","Omitted","2","5","2",,,"DYER STREET",,,"LOWER HUTT","NZ",,"5011","DYER STREET",,,"LOWER HUTT","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","233","5000.0","0","61","27","100","27052","211","36","2016-01-27 11:10:00.0","2016-01-28 03:11:44.0"
